DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,WCUT,GOR,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2014-06-05,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3205.9873975075525,226.35074131042285,2302.59751584432,,47.04156520833333,%,903.3898816632327,129.6403021667992,490.8330008635467,0.11795118901883157,824.9792518886997,4260.018641999999,3.5144269923090734,569.6671859999999,,production,OP
2014-06-06,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3201.71087067775,226.376250125,2286.87543059825,,47.202699375,%,914.8354400795,133.761621125,502.49521619075006,0.11779288489061542,812.0453329517524,4342.352124,3.526186776327329,579.793764,,production,OP
2014-06-07,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3200.1204746185,226.38939575,2281.133077037375,,47.19410729166667,%,918.9873975811249,133.90775862499999,506.67182713075,0.11708228950748377,811.1462192005399,4367.008139999999,3.5422821419789816,579.1018859999999,,production,OP
2014-06-08,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3198.14664643325,226.4048825,2279.7739078096247,,47.152024375,%,918.372738623625,125.692086875,506.059636840875,0.11669544088496707,812.5514999676953,4344.36486,3.5300201833999463,573.94425,,production,OP
2014-06-09,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,19.5,3211.873972019154,225.96306721538463,2307.7466030601,,38.978911458333336,%,904.1273689590538,128.40660343076922,502.85109230539996,0.10558889722430607,822.1358153392761,1499.80281,1.2330416060474874,177.05786999999998,,production,OP
2014-06-10,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3203.188774659875,226.383356375,2292.680954251375,,46.512532291666666,%,910.5078204085,130.075076,498.22992357862495,0.11595786827688902,826.5349596625299,4070.192478,3.3641563756224624,533.8782239999999,,production,OP
2014-06-11,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3167.843304135875,226.5174935,2272.53027799725,,47.815207916666665,%,895.313026138625,129.731625125,483.17708525125005,0.1121585431173005,818.8943127320068,4691.687615999999,3.841996305857587,592.687854,,production,OP
2014-06-12,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3125.5233429598748,226.6508495,2256.199745538625,,48.72777375,%,869.32359742125,142.80984875000001,457.29441961,0.11235979839643555,813.0805372115905,5062.34553,4.116094623083093,640.8048239999999,,production,OP
2014-06-13,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3115.753136079375,226.6433585,2243.52259339175,,48.263916875,%,872.230542687625,144.18892175000002,460.34245965575,0.06480973916221279,824.8734467039724,5150.654321999999,4.248637983368851,356.94615,,production,OP
2014-06-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3130.3920057385,226.588609625,2256.7591601262498,,48.00591375,%,873.63284561225,139.251932375,461.73976783425,0.06501262671597668,829.1990016049331,4913.654658,4.074397536645029,341.66193599999997,,production,OP
